rowid,mta_name,mta_lines,mta_id,spacer,nyca_name,nyca_lines,nyca_id
248,Church Ave,F-G,110,,Church Ave,"('F', 'G')",41
249,City Hall,R-W,416,,City Hall,"('R',)",417
250,Clark St,3-Feb,446,,Clark St,"('2', '3')",447
251,Classon Ave,G,70,,Classon Ave,"('G',)",36
252,Cleveland St,J,215,,Cleveland St,"('J',)",184
253,Clinton - Washington Aves,A-C,448,,Clinton - Washington Aves,"('C',)",449
254,Clinton - Washington Aves,G,119,,Clinton - Washington Aves,"('G',)",52
255,Coney Island - Stillwell Av,D-F-N-Q,469,,Coney Island - Stillwell Av,"('D', 'F', 'N', 'Q')",470
256,Cortelyou Rd,Q,461,,Cortelyou Rd,"('Q',)",462
257,Cortlandt St,1,426,,Cortlandt St,"('R',)",430
258,Cortlandt St,R-W,429,,Cortlandt St (Temporarily Closed),"('1',)",427
259,Court Sq,7-7 Express,93,,Court Sq,"('7', '7e', 'G')",14
260,Court Sq - 23rd St,E-M,66,,Court Sq - 23 St,"('E', 'M')",98
261,Court St,N-R,378,,Court St,"('R',)",379
262,Crescent St,J-Z,227,,Crescent St,"('J', 'Z')",201
263,Crown Hts - Utica Ave,4-Mar,135,,Crown Hts - Utica Ave,"('3', '4')",72
264,Cypress Ave,6,255,,Cypress Ave,"('6',)",237
265,Cypress Hills,J,228,,Cypress Hills,"('J',)",202
266,DeKalb Ave,B-D-N-Q-R,15,,DeKalb Ave,"('B', 'Q', 'R')",59
267,DeKalb Ave,L,235,,DeKalb Ave,"('L',)",210
268,Delancey St - Essex St,F,370,,Delancey St - Essex St,"('F', 'J', 'M', 'Z')",371
269,Delancey St - Essex St,J-M-Z,11,,,,371
270,Ditmas Ave,F,69,,Ditmas Ave,"('F',)",307
271,Dyckman St,1,286,,Dyckman St,"('1',)",277
272,Dyckman St,A,431,,Dyckman St,"('A',)",432
273,E 105th St,L,220,,E 105th St,"('L',)",190
274,E 143rd St - St Mary's St,6,258,,E 143rd St - St Mary's St,"('6',)",243
275,E 149th St,6,50,,E 149th St,"('6',)",153
276,E 180th St,5-Feb,285,,E 180th St,"('2', '5')",276
277,East Broadway,F,369,,East Broadway,"('F',)",370
278,Eastchester - Dyre Ave,5,278,,Eastchester - Dyre Ave,"('5',)",268
279,Eastern Pkwy - Bklyn Museum,2/3/04,129,,Eastern Pkwy - Bklyn Museum,"('2', '3')",64
280,Elder Ave,6,249,,Elder Ave,"('6',)",230
281,Elmhurst Ave,E-M-R,37,,Elmhurst Ave,"('M', 'R')",218
282,Euclid Ave,A-C-S,459,,Euclid Ave,"('A', 'C')",460
283,Far Rockaway - Mott Ave,A,55,,Far Rockaway - Mott Ave,"('A',)",194
284,Flushing - Main St,7-7 Express,25,,Flushing - Main St,"('7', '7e')",159
285,Flushing Ave,G,364,,Flushing Ave,"('G',)",365
286,Flushing Ave,J-M,372,,Flushing Ave,"('J', 'M')",373
287,Fordham Rd,4,408,,Fordham Rd,"('4',)",409
288,Fordham Rd,B-D,263,,Fordham Rd,"('B', 'D')",248
289,Forest Ave,M,449,,Forest Ave,"('M',)",450
290,Forest Hills - 71st Av,E-F-M-R,245,,Forest Hills - 71st Av,"('E', 'F', 'M', 'R')",223
291,Franklin Ave,2-3-4-5,42,,Franklin Ave,"('2', '3', '4', '5')",65
292,Franklin Ave,A-C,447,,Franklin Ave,"('S', 'C')",280
293,Franklin Ave - Fulton St,S,288,,,,280
294,Franklin St,2-Jan,464,,Franklin St,"('1',)",465
295,Freeman St,5-Feb,18,,Freeman St,"('2', '5')",228
296,Fresh Pond Rd,M,423,,Fresh Pond Rd,"('M',)",424
297,Ft Hamilton Pkwy,D,392,,Ft Hamilton Pkwy,"('D',)",393
298,Ft Hamilton Pkwy,F-G,109,,Ft Hamilton Pkwy,"('F', 'G')",40
299,Ft Hamilton Pkwy,N,312,,Ft Hamilton Pkwy,"('N',)",312
300,Fulton St,3-Feb,402,,Fulton St,"('A', 'C', 'J', 'Z', '2', '3', '4', '5')",414
301,Fulton St,5-Apr,427,,,,414
302,Fulton St,A-C,360,,,,414
303,Fulton St,G,118,,Fulton St,"('G',)",51
304,Fulton St,J-Z,413,,,,414
305,Gates Ave,J-Z,301,,Gates Ave,"('J', 'Z')",298
306,Graham Ave,L,150,,Graham Ave,"('L',)",92
307,Grand Army Plaza,2/3/04,115,,Grand Army Plaza,"('2', '3')",47
308,Grand Ave - Newtown,E-M-R,68,,Grand Ave - Newtown,"('M', 'R')",217
309,Grand Central - 42nd St,4-5-6-6 Express,31,,Grand Central - 42nd St,"('4', '5', '6', '6e', 'S', '7', '7e', 'mn')",471
310,Grand Central - 42nd St,7-7 Express,204,,,,471
311,Grand Central - 42nd St,S,81,,,,471
312,Grand St,B-D,432,,Grand St,"('B', 'D')",433
313,Grand St,L,149,,Grand St,"('L',)",91
314,Grant Ave,A-S,192,,Grant Ave,"('A',)",149
315,Gravesend - 86th St,N,336,,Gravesend - 86th St,"('N',)",337
316,Greenpoint Ave,G,138,,Greenpoint Ave,"('G',)",76
317,Gun Hill Rd,5-Feb,40,,Gun Hill Rd,"('2', '5')",262
318,Gun Hill Rd,5,284,,Gun Hill Rd,"('5',)",275
319,Halsey St,J,75,,Halsey St,"('J',)",197
320,Halsey St,L,211,,Halsey St,"('L',)",177
321,Harlem - 148 St,3,261,,Harlem - 148 St,"('3',)",246
322,Herald Sq - 34th St,B-D-F-M,366,,Herald Sq - 34th St,"('N', 'Q', 'R', 'B', 'D', 'F', 'M')",84
323,Herald Sq - 34th St,N-Q-R-W,145,,,,84
324,Hewes St,J-M,140,,Hewes St,"('J', 'M')",78
325,High St,A-C,453,,High St,"('A', 'C')",454
326,Houston St,2-Jan,97,,Houston St,"('1',)",21
327,Howard Beach - JFK Airport,A,242,,Howard Beach - JFK Airport,"('A',)",219
328,Hoyt - Schermerhorn Sts,A-C-G,367,,Hoyt - Schermerhorn Sts,"('A', 'C', 'G')",368
329,Hoyt St,3-Feb,405,,Hoyt St,"('2', '3')",406
330,Hunters Point Ave,7-7 Express,95,,Hunters Point Ave,"('7', '7e')",17
331,Hunts Point Ave,6-6 Express,89,,Hunts Point Ave,"('6', '6e')",10
332,Intervale Ave,5-Feb,19,,Intervale Ave,"('2', '5')",239
333,Inwood - 207th St,A,270,,Inwood - 207th St,"('A',)",256
334,Jackson Ave,5-Feb,253,,Jackson Ave,"('2', '5')",235
335,Jackson Hts - Roosevelt Av,E-F-M-R,438,,Jackson Hts - Roosevelt Av,"('E', 'F', 'M', 'R')",439
336,Jamaica - 179th St,F,279,,Jamaica - 179th St,"('F',)",269
337,Jamaica - Van Wyck,E,63,,Jamaica - Van Wyck,"('E',)",225
338,Jamaica Ctr - Parsons / Archer,E-J-Z,247,,Jamaica Ctr - Parsons / Archer,"('E', 'J', 'Z')",226
339,Jay St - MetroTech,A-C-F,368,,Jay St - Metrotech,"('A', 'C', 'F', 'R')",369
340,Jay St - MetroTech,N-R,377,,,,369
341,Jefferson St,L,305,,Jefferson St,"('L',)",303
342,Junction Blvd,7-7 Express,24,,Junction Blvd,"('7', '7e')",35
343,Junius St,4-Mar,217,,Junius St,"('3',)",187
344,Kew Gardens - Union Tpke,E-F,64,,Kew Gardens - Union Tpke,"('E', 'F')",114
345,Kings Hwy,B-Q,330,,Kings Hwy,"('B', 'Q')",331
346,Kings Hwy,F,326,,Kings Hwy,"('F',)",327
347,Kings Hwy,N,332,,Kings Hwy,"('N',)",333
348,Kingsbridge Rd,4,259,,Kingsbridge Rd,"('4',)",244
349,Kingsbridge Rd,B-D,59,,Kingsbridge Rd,"('B', 'D')",250
350,Kingston - Throop Aves,A-C,8,,Kingston - Throop Aves,"('C',)",74
351,Kingston Ave,4-Mar,136,,Kingston Ave,"('3',)",73
352,Knickerbocker Ave,M,303,,Knickerbocker Ave,"('M',)",300
353,Kosciuszko St,J,300,,Kosciuszko St,"('J',)",297
354,Lafayette Ave,A-C,454,,Lafayette Ave,"('C',)",455
355,Lexington Ave - 53rd St,E-M,143,,Lexington Ave - 53rd St,"('E', 'M')",82
356,Lexington Ave - 59th St,4-5-6-6 Express,49,,59th St,"('4', '5', '6', '6e')",7
357,Lexington Ave - 59th St,N-R-W,357,,Lexington Ave - 59th St,"('N', 'Q', 'R')",358
358,Lexington Ave - 63rd St,F-Q,351,,Lexington Ave - 63rd St,"('F',)",352
359,Liberty Ave,A-C,385,,Liberty Ave,"('C',)",386
360,Livonia Ave,L,216,,Livonia Ave,"('L',)",185
361,Long Island City - Court Sq,G,153,,,,
362,Longwood Ave,6,250,,Longwood Ave,"('6',)",232
363,Lorimer St,J-M,76,,Lorimer St,"('J', 'M')",96
364,Lorimer St,L,72,,Lorimer St,"('L',)",93
365,Lower East Side - 2nd Ave,F,371,,,,
366,Marble Hill - 225th St,1,266,,Marble Hill - 225th St,"('1',)",252
367,Marcy Ave,J-M-Z,139,,Marcy Ave,"('J', 'M', 'Z')",77
368,Metropolitan Ave,G,148,,Metropolitan Ave,"('G',)",90
369,Mets - Willets Point,7-7 Express,23,,Mets - Willets Point,"('7', '7e')",19
370,Middle Village - Metropolitan Ave,M,424,,Middle Village - Metropolitan Ave,"('M',)",425
371,Middletown Rd,6-6 Express,91,,Middletown Rd,"('6', '6e')",12
372,Montrose Ave,L,152,,Montrose Ave,"('L',)",97
373,Morgan Ave,L,306,,Morgan Ave,"('L',)",304
374,Morris Park,5,125,,Morris Park,"('5',)",60
375,Morrison Av - Soundview,6,51,,Morrison Av - Soundview,"('6',)",231
376,Mosholu Pkwy,4,274,,Mosholu Pkwy,"('4',)",264
377,Mt Eden Ave,4,262,,Mt Eden Ave,"('4',)",247
378,Myrtle - Wyckoff Aves,L,212,,Myrtle - Wyckoff Ave,"('L', 'M')",178
379,Myrtle - Wyckoff Aves,M,233,,,,178
380,Myrtle Ave,J-M-Z,373,,Myrtle Ave,"('J', 'M', 'Z')",374
381,Myrtle-Willoughby Aves,G,363,,Myrtle-Willoughby Aves,"('G',)",364
382,Nassau Ave,G,137,,Nassau Ave,"('G',)",75
383,Neck Rd,Q,345,,Neck Rd,"('Q',)",346
384,Neptune Ave,F,333,,Neptune Ave,"('F',)",334
385,Nereid Ave (238 St),5-Feb,41,,Nereid Ave (238 St),"('2', '5')",281
386,Nevins St,2-3-4-5,128,,Nevins St,"('2', '3', '4', '5')",63
387,New Lots Ave,4-Mar,213,,New Lots Ave,"('3',)",179
388,New Lots Ave,L,223,,New Lots Ave,"('L',)",193
389,New Utrecht Ave,N,324,,New Utrecht Ave,"('N',)",325
390,Newkirk Ave,5-Feb,132,,Newkirk Ave,"('2', '5')",68
391,Newkirk Ave,B-Q,113,,Newkirk Ave,"('B', 'Q')",44
392,Northern Blvd,E-M-R,238,,Northern Blvd,"('M', 'R')",213
393,Norwood - 205th St,D,275,,Norwood - 205th St,"('D',)",265
394,Norwood Ave,J-Z,13,,Norwood Ave,"('J', 'Z')",200
395,Nostrand Ave,4-Mar,445,,Nostrand Ave,"('3',)",446
396,Nostrand Ave,A-C,127,,Nostrand Ave,"('A', 'C')",62
397,Ocean Pkwy,Q,100,,Ocean Pkwy,"('Q',)",28
398,Ozone Park - Lefferts Blvd,A-S,196,,Ozone Park - Lefferts Blvd,"('A',)",154
399,Park Pl,3-Feb,403,,Park Pl,"('2', '3')",404
400,Park Pl,S,82,,Park Pl,"('S',)",279
401,Parkchester,6-6 Express,463,,Parkchester,"('6', '6e')",464
402,Parkside Ave,Q,114,,Parkside Ave,"('Q',)",45
403,Parsons Blvd,F,187,,Parsons Blvd,"('F',)",144
404,Pelham Bay Park,6-6 Express,201,,Pelham Bay Park,"('6', '6e')",163
405,Pelham Pkwy,5-Feb,39,,Pelham Pkwy,"('2', '5')",241
406,Pelham Pkwy,5,126,,Pelham Pkwy,"('5',)",61
407,Pennsylvania Ave,4-Mar,5,,Pennsylvania Ave,"('3',)",181
408,President St,5-Feb,455,,President St,"('2', '5')",456
409,Prince St,N-Q-R-W,400,,Prince St,"('N', 'R')",401
410,Prospect Ave,5-Feb,254,,Prospect Ave,"('2', '5')",236
411,Prospect Ave,D-N-R,381,,Prospect Ave,"('R',)",382
412,Prospect Park,B-Q-S,61,,Prospect Park,"('B', 'Q', 'S')",46
413,Queens Plz,E-M-R,307,,Queens Plz,"('E', 'M', 'R')",305
414,Queensboro Plz,7-7 Express-N-W,103,,Queensboro Plz,"('7', '7e', 'N', 'Q')",32
415,Ralph Ave,A-C,38,,Ralph Ave,"('C',)",293
416,Rector St,1,425,,Rector St,"('1',)",426
417,Rector St,R-W,422,,Rector St,"('R',)",423
418,Rockaway Ave,4-Mar,218,,Rockaway Ave,"('3',)",188
419,Rockaway Ave,A-C,117,,Rockaway Ave,"('C',)",50
420,Rockaway Blvd,A-S,104,,Rockaway Blvd,"('A',)",33
421,Rockaway Park - Beach 116 St,A-S,184,,Rockaway Park - Beach 116 St,"('A', 'S')",140
422,Roosevelt Island - Main St,F,352,,Roosevelt Island,"('F',)",353
423,Saratoga Ave,4-Mar,221,,Saratoga Ave,"('3',)",191
424,Seneca Ave,M,234,,Seneca Ave,"('M',)",209
425,Sheepshead Bay,B-Q,328,,Sheepshead Bay,"('B', 'Q')",329
426,Shepherd Ave,A-C,226,,Shepherd Ave,"('C',)",199
427,Simpson St,5-Feb,43,,Simpson St,"('2', '5')",227
428,Smith - 9th Sts,F-G,375,,Smith - 9th Sts,"('F', 'G')",376
429,South Ferry,1,418,,South Ferry,"('1',)",419
430,Spring St,4-6-6 Express,467,,Spring St,"('6',)",468
431,Spring St,A-C-E,395,,Spring St,"('C', 'E')",396
432,St Lawrence Ave,6,53,,St Lawrence Ave,"('6',)",260
433,Steinway St,E-M-R,299,,Steinway St,"('M', 'R')",296
434,Sterling St,5-Feb,134,,Sterling St,"('2', '5')",71
435,Sutphin Blvd,F,246,,Sutphin Blvd,"('F',)",224
436,Sutphin Blvd - Archer Av,E-J-Z,65,,Sutphin Blvd - Archer Av,"('E', 'J', 'Z')",176
437,Sutter Ave,L,73,,Sutter Ave,"('L',)",186
438,Sutter Ave - Rutland Road,4-Mar,222,,Sutter Ave - Rutland Road,"('3',)",192
439,Times Sq - 42nd St,1/2/03,359,,Times Sq - 42nd St,"('1', '2', '3', '7', '7e', 'N', 'Q', 'R', 'S')",360
440,Times Sq - 42nd St,7-7 Express,197,,,,360
441,Times Sq - 42nd St,N-Q-R-W,80,,,,360
442,Times Sq - 42nd St,S,147,,,,360
443,Tremont Ave,B-D,171,,Tremont Ave,"('B', 'D')",123
444,Union Sq - 14th St,4-5-6-6 Express,105,,Union Sq - 14th St,"('4', '5', '6', '6e', 'N', 'Q', 'R', 'L')",34
445,Union Sq - 14th St,L,384,,,,34
446,Union Sq - 14th St,N-Q-R-W,379,,,,34
447,Union St,D-N-R,36,,Union St,"('R',)",55
448,Utica Ave,A-C,298,,Utica Ave,"('A', 'C')",294
449,Van Cortlandt Park - 242nd St,1,271,,Van Cortlandt Park - 242nd St,"('1',)",258
450,Van Siclen Ave,4-Mar,46,,Van Siclen Ave,"('3',)",180
451,Van Siclen Ave,A-C,214,,Van Siclen Ave,"('C',)",182
452,Van Siclen Ave,J-Z,12,,Van Siclen Ave,"('J', 'Z')",183
453,Vernon Blvd - Jackson Ave,7-7 Express,101,,Vernon Blvd - Jackson Ave,"('7', '7e')",30
454,W 4th St - Washington Sq (Lower),B-D-F-M,84,,W 4th St - Washington Sq,"('B', 'D', 'F', 'M', 'A', 'C', 'E')",1
455,W 4th St - Washington Sq (Upper),A-C-E,206,,,,1
456,W 8th St - NY Aquarium,F-Q,198,,W 8th St - NY Aquarium,"('F', 'Q')",160
457,Wakefield - 241st St,2,280,,Wakefield - 241st St,"('2',)",270
458,Wall St,3-Feb,430,,Wall St,"('2', '3')",431
459,Wall St,5-Apr,420,,Wall St,"('4', '5')",421
460,West Farms Sq - E Tremont Av,5-Feb,272,,West Farms Sq - E Tremont Av,"('2', '5')",259
461,Westchester Sq - E Tremont Ave,6-6 Express,202,,Westchester Sq - E Tremont Ave,"('6', '6e')",164
462,Whitehall St,R-W,421,,Whitehall St South Ferry,"('R',)",422
463,Whitlock Ave,6,52,,Whitlock Ave,"('6',)",238
464,Wilson Ave,L,74,,Wilson Ave,"('L',)",273
465,Winthrop St,5-Feb,45,,Winthrop St,"('2', '5')",70
466,Woodhaven Blvd,J-Z,208,,Woodhaven Blvd,"('J', 'Z')",173
467,Woodhaven Blvd - Queens Mall,E-M-R,232,,Woodhaven Blvd - Queens Mall,"('M', 'R')",207
468,Woodlawn,4,456,,Woodlawn,"('4',)",457
469,Woodside - 61st St,7-7 Express,54,,Woodside - 61st St,"('7', '7e', 'lirr')",157
470,World Trade Center,E,409,,World Trade Center,"('E',)",410
471,York St,F,452,,York St,"('F',)",453
472,Zerega Ave,6-6 Express,30,,Zerega Ave,"('6', '6e')",23